ISIN,COMPANY,NSE_SYMBOL,BSE_SYMBOL,BSE_CODE,EXCHANGE,PRICE_SOURCE,PRICE_TICKER,LATEST_PRICE,PRICE_DATE,NSE_LISTING_DATE,BSE_LISTING_DATE
INE966A01022,Dolat Algotech Limited,DOLATALGO,DOLATALGO,505526,NSE+BSE,NSE/Yahoo Finance,DOLATALGO.NS,,,12-JAN-2024,
INE325C01035,Dollar Industries Limited,DOLLAR,DOLLAR,541403,NSE+BSE,NSE/Yahoo Finance,DOLLAR.NS,,,21-APR-2017,
INE920A01037,Dolphin Offshore Enterprises (India) Limited,DOLPHIN,DOLPHIN,522261,NSE+BSE,NSE/Yahoo Finance,DOLPHIN.NS,,,21-AUG-2023,
INE668D01028,Donear Industries Limited,DONEAR,DONEAR,512519,NSE+BSE,NSE/Yahoo Finance,DONEAR.NS,,,20-DEC-2006,
INE934C01018,Dr Agarwals Eye Hospital Limited,DRAGARWQ,DRAGARWQ,526783,NSE+BSE,NSE/Yahoo Finance,DRAGARWQ.NS,,,20-APR-2026,
INE943P01029,Dr. Agarwal's Health Care Limited,AGARWALEYE,AGARWALEYE,544350,NSE+BSE,NSE/Yahoo Finance,AGARWALEYE.NS,,,04-FEB-2025,
INE600L01024,Dr. Lal Path Labs Ltd.,LALPATHLAB,LALPATHLAB#,139524,NSE+BSE,NSE/Yahoo Finance,LALPATHLAB.NS,,,23-DEC-2015,
INE089A01031,Dr. Reddy's Laboratories Limited,DRREDDY,DRREDDY#,100124,NSE+BSE,NSE/Yahoo Finance,DRREDDY.NS,,,30-MAY-2003,
INE0JS101016,Dreamfolks Services Limited,DREAMFOLKS,DREAMFOLKS,543591,NSE+BSE,NSE/Yahoo Finance,DREAMFOLKS.NS,,,06-SEP-2022,
INE506A01018,Dredging Corporation of India Limited,DREDGECORP,DREDGECORP,523618,NSE+BSE,NSE/Yahoo Finance,DREDGECORP.NS,,,15-JAN-2004,
INE741L01018,Ducon Infratechnologies Limited,DUCON,DUCON,534674,NSE+BSE,NSE/Yahoo Finance,DUCON.NS,,,09-OCT-2012,
INE366A01041,Dwarikesh Sugar Industries Limited,DWARKESH,DWARKESH,532610,NSE+BSE,NSE/Yahoo Finance,DWARKESH.NS,,,31-DEC-2004,
INE417B01040,Dynacons Systems & Solutions Limited,DSSL,DSSL,532365,NSE+BSE,NSE/Yahoo Finance,DSSL.NS,,,01-DEC-2011,
INE221B01012,Dynamatic Technologies Limited,DYNAMATECH,DYNAMATECH,505242,NSE+BSE,NSE/Yahoo Finance,DYNAMATECH.NS,,,14-SEP-2006,
INE600Y01019,Dynamic Cables Limited,DYCL,DYCL,540795,NSE+BSE,NSE/Yahoo Finance,DYCL.NS,,,27-JUL-2022,
INE256H01015,Dynemic Products Limited,DYNPRO,DYNPRO,532707,NSE+BSE,NSE/Yahoo Finance,DYNPRO.NS,,,19-JUL-2017,
INE255Z01027,E2E Networks Limited,E2E,E2E,544783,NSE+BSE,NSE/Yahoo Finance,E2E.NS,,,12-APR-2022,
INE886D01026,EFC (I) Limited,EFCIL,EFCIL,512008,NSE+BSE,NSE/Yahoo Finance,EFCIL.NS,,,20-AUG-2025,
INE126A01031,EID Parry India Limited,EIDPARRY,EIDPARRY#,100125,NSE+BSE,NSE/Yahoo Finance,EIDPARRY.NS,,,10-MAY-1995,
INE276C01014,EIH Associated Hotels Limited,EIHAHOTELS,EIHAHOTELS,523127,NSE+BSE,NSE/Yahoo Finance,EIHAHOTELS.NS,,,08-APR-2008,
INE230A01023,EIH Limited,EIHOTEL,EIHOTEL#,100840,NSE+BSE,NSE/Yahoo Finance,EIHOTEL.NS,,,08-FEB-1995,
INE927X01018,EL CID Investments Limited,ELCIDIN,ELCIDIN,503681,NSE+BSE,NSE/Yahoo Finance,ELCIDIN.NS,,,20-APR-2026,
INE0OV601013,EMS Limited,EMSLIMITED,EMSLIMITED,543983,NSE+BSE,NSE/Yahoo Finance,EMSLIMITED.NS,,,21-SEP-2023,
INE0G5901015,EPACK Durable Limited,EPACK,EPACK,544095,NSE+BSE,NSE/Yahoo Finance,EPACK.NS,,,30-JAN-2024,
INE255A01020,EPL Limited,EPL,EPL,500135,NSE+BSE,NSE/Yahoo Finance,EPL.NS,,,11-FEB-2002,
INE0MLS01022,EPack Prefab Technologies Limited,EPACKPEB,EPACKPEB,544540,NSE+BSE,NSE/Yahoo Finance,EPACKPEB.NS,,,01-OCT-2025,
INE818W01011,ESAF Small Finance Bank Limited,ESAFSFB,ESAFSFB,544020,NSE+BSE,NSE/Yahoo Finance,ESAFSFB.NS,,,10-NOV-2023,
INE758T01015,ETERNAL LIMITED,ETERNAL,ETERNAL#,143320,NSE+BSE,NSE/Yahoo Finance,ETERNAL.NS,,,23-JUL-2021,
INE962C01035,Eastern Silk Industries Limited,EASTSILK,EASTSILK,590022,NSE+BSE,NSE/Yahoo Finance,EASTSILK.NS,,,03-JUL-1996,
INE07O001026,Easy Trip Planners Limited,EASEMYTRIP,EASEMYTRIP,543272,NSE+BSE,NSE/Yahoo Finance,EASEMYTRIP.NS,,,19-MAR-2021,
INE06HJ01020,Ecos (India) Mobility & Hospitality Limited,ECOSMOBLTY,ECOSMOBLTY,544239,NSE+BSE,NSE/Yahoo Finance,ECOSMOBLTY.NS,,,04-SEP-2024,
INE532F01054,Edelweiss Financial Services Limited,EDELWEISS,EDELWEISS#,132922,NSE+BSE,NSE/Yahoo Finance,EDELWEISS.NS,,,12-DEC-2007,
INE066A01021,Eicher Motors Limited,EICHERMOT,EICHERMOT#,105200,NSE+BSE,NSE/Yahoo Finance,EICHERMOT.NS,,,07-SEP-2004,
INE158B01016,Eimco Elecon (India) Limited,EIMCOELECO,EIMCOELECO,523708,NSE+BSE,NSE/Yahoo Finance,EIMCOELECO.NS,,,17-APR-1996,
INE280B01018,Elantas Beck India Limited,ELANTAS,ELANTAS,500123,NSE+BSE,NSE/Yahoo Finance,ELANTAS.NS,,,20-APR-2026,
INE668G01021,Eldeco Housing And Industries Limited,ELDEHSG,ELDEHSG,523329,NSE+BSE,NSE/Yahoo Finance,ELDEHSG.NS,,,12-APR-2022,
INE205B01031,Elecon Engineering Company Limited,ELECON,ELECON#,105700,NSE+BSE,NSE/Yahoo Finance,ELECON.NS,,,29-SEP-2006,
